Frequency (GHz),Beta_TE_1,Alpha_TE_1,Beta_TM_1,Alpha_TM_1,Beta_TE_2,Alpha_TE_2,Beta_TM_2,Alpha_TM_2,Beta_TE_3,Alpha_TE_3,Beta_TM_3,Alpha_TM_3,Beta_TE_4,Alpha_TE_4,Beta_TM_4,Alpha_TM_4,Beta_TE_5,Alpha_TE_5,Beta_TM_5,Alpha_TM_5,Beta_TE_6,Alpha_TE_6,Beta_TM_6,Alpha_TM_6
10.0,2.063040967151369,0.0,0.8890133435810786,0.0,1.0000000000000275,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,0.9999999999999964,0.0,0.0,0.0
10.90909090909091,2.152166104064179,0.0,0.9129058237879015,0.0,1.0000000000000382,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,0.9999999999999849,0.0,0.0,0.0,0.9999999999999067,0.0,0.0,0.0
11.818181818181818,2.2294189929539963,0.0,0.9312338781309255,0.0,1.0000000000002904,0.0,0.0,0.0,1.0000000000000249,0.0,0.0,0.0,1.0000000000000053,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,0.9999999999999991,0.0,0.0,0.0
12.727272727272728,2.2977009090172626,0.0,0.9456902730253516,0.0,1.000000000000056,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0,1.0000000000000044,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0
13.636363636363637,2.35879818570812,0.0,0.9573701977682788,0.0,1.0000000000000115,0.0,0.0,0.0,1.0000000000000107,0.0,0.0,0.0,1.0000000000000098,0.0,0.0,0.0,0.9999999999996572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.545454545454547,2.413893829082537,0.0,0.9670126610948819,0.0,1.000000000000318,0.0,0.0,0.0,1.0000000000000302,0.0,0.0,0.0,1.0000000000000133,0.0,0.0,0.0,1.0000000000000115,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.454545454545457,2.463833605046842,0.0,0.9751343661378564,0.0,1.0000000000000107,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0,0.999999999999992,0.0,0.0,0.0,0.9999999999999609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.363636363636363,2.509265769479397,0.0,0.9821082100989977,0.0,1.000000000000072,0.0,0.0,0.0,1.000000000000056,0.0,0.0,0.0,1.0000000000000107,0.0,0.0,0.0,1.000000000000008,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17.272727272727273,2.550714853924859,0.0,0.9882115038056062,0.0,1.0000000000000497,0.0,0.0,0.0,1.0000000000000187,0.0,0.0,0.0,1.000000000000016,0.0,0.0,0.0,1.0000000000000142,0.0,0.0,0.0,1.0000000000000053,0.0,0.0,0.0
18.181818181818183,2.5886212432689435,0.0,0.9936568424579644,0.0,1.0000000000001705,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,1.000000000000008,0.0,0.0,0.0,1.0000000000000044,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0
19.090909090909093,2.6233632205469704,0.0,0.9986126816542099,0.0,1.0000000000000586,0.0,0.0,0.0,1.0000000000000497,0.0,0.0,0.0,1.0000000000000098,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0
